Report 20200508221400

- 2020-05-07 23:51:47.0 -
Humidity:47.3256 | time: 2020-05-07 23:51:47.0
Humidity:35.168 | time: 2020-05-05 07:00:00.0
Humidity:48.9417 | time: 2020-05-05 06:00:00.0
Humidity:41.2958 | time: 2020-05-05 05:00:00.0
Humidity:37.9404 | time: 2020-05-05 04:00:00.0
Humidity:43.1184 | time: 2020-05-05 03:00:00.0
Humidity:47.172 | time: 2020-05-05 02:00:00.0
Humidity:36.488 | time: 2020-05-05 01:00:00.0
Humidity:49.5155 | time: 2020-05-05 00:00:00.0

 - 2020-05-04 23:00:00.0 -
Humidity:45.4566 | time: 2020-05-04 23:00:00.0
Humidity:42.3661 | time: 2020-05-04 22:00:00.0
Humidity:40.3376 | time: 2020-05-04 21:00:00.0
Humidity:36.7534 | time: 2020-05-04 20:00:00.0
Humidity:35.6765 | time: 2020-05-04 19:00:00.0
Humidity:35.7103 | time: 2020-05-04 18:00:00.0
Humidity:36.4594 | time: 2020-05-04 17:00:00.0
Humidity:42.3661 | time: 2020-05-04 16:00:00.0
Humidity:42.945 | time: 2020-05-04 15:00:00.0
Humidity:38.4578 | time: 2020-05-04 14:00:00.0
Humidity:49.7123 | time: 2020-05-04 13:00:00.0
Humidity:39.7306 | time: 2020-05-04 12:00:00.0
Humidity:41.4904 | time: 2020-05-04 11:00:00.0
Humidity:42.7913 | time: 2020-05-04 10:00:00.0
Humidity:40.9854 | time: 2020-05-04 09:00:00.0
Humidity:44.4015 | time: 2020-05-04 08:00:00.0
Humidity:35.3785 | time: 2020-05-04 07:00:00.0
Humidity:42.2233 | time: 2020-05-04 06:00:00.0
Humidity:44.823 | time: 2020-05-04 05:00:00.0
Humidity:46.1692 | time: 2020-05-04 04:00:00.0
Humidity:37.7694 | time: 2020-05-04 03:00:00.0
Humidity:35.5216 | time: 2020-05-04 02:00:00.0
Humidity:45.1756 | time: 2020-05-04 01:00:00.0
Humidity:49.9084 | time: 2020-05-04 00:00:00.0

 - 2020-05-03 23:00:00.0 -
Humidity:40.7612 | time: 2020-05-03 23:00:00.0
Humidity:38.2874 | time: 2020-05-03 22:00:00.0
Humidity:40.8293 | time: 2020-05-03 21:00:00.0
Humidity:40.8515 | time: 2020-05-03 20:00:00.0
Humidity:43.4465 | time: 2020-05-03 19:00:00.0
Humidity:38.9544 | time: 2020-05-03 18:00:00.0
Humidity:46.8341 | time: 2020-05-03 17:00:00.0
Humidity:39.8133 | time: 2020-05-03 16:00:00.0
Humidity:43.8187 | time: 2020-05-03 15:00:00.0
Humidity:35.1167 | time: 2020-05-03 14:00:00.0
Humidity:35.5133 | time: 2020-05-03 13:00:00.0
Humidity:50.2835 | time: 2020-05-03 12:00:00.0
Humidity:36.6843 | time: 2020-05-03 11:00:00.0
Humidity:35.7361 | time: 2020-05-03 10:00:00.0
Humidity:48.4071 | time: 2020-05-03 09:00:00.0
Humidity:46.1939 | time: 2020-05-03 08:00:00.0
Humidity:46.7509 | time: 2020-05-03 07:00:00.0
Humidity:46.917 | time: 2020-05-03 06:00:00.0
Humidity:44.7627 | time: 2020-05-03 05:00:00.0
Humidity:38.5584 | time: 2020-05-03 04:00:00.0
Humidity:45.5816 | time: 2020-05-03 02:00:00.0
Humidity:36.9554 | time: 2020-05-03 01:00:00.0
Humidity:43.0735 | time: 2020-05-03 00:00:00.0

 - 2020-05-02 23:00:00.0 -
Humidity:41.0872 | time: 2020-05-02 23:00:00.0
Humidity:42.515 | time: 2020-05-02 22:00:00.0
Humidity:50.4851 | time: 2020-05-02 21:00:00.0
Humidity:41.1593 | time: 2020-05-02 20:00:00.0
Humidity:46.8635 | time: 2020-05-02 19:00:00.0
Humidity:47.8918 | time: 2020-05-02 18:00:00.0
Humidity:35.9632 | time: 2020-05-02 17:00:00.0
Humidity:47.8097 | time: 2020-05-02 16:00:00.0
Humidity:35.457 | time: 2020-05-02 15:00:00.0
Humidity:38.539 | time: 2020-05-02 14:00:00.0
Humidity:36.7653 | time: 2020-05-02 13:00:00.0
Humidity:43.0125 | time: 2020-05-02 12:00:00.0
Humidity:39.4566 | time: 2020-05-02 11:00:00.0
Humidity:38.8246 | time: 2020-05-02 10:00:00.0
Humidity:38.7969 | time: 2020-05-02 09:00:00.0
Humidity:37.3904 | time: 2020-05-02 08:00:00.0
Humidity:38.0872 | time: 2020-05-02 07:00:00.0
Humidity:38.2092 | time: 2020-05-02 06:00:00.0
Humidity:38.0781 | time: 2020-05-02 05:00:00.0
Humidity:39.1043 | time: 2020-05-02 04:00:00.0
Humidity:39.6126 | time: 2020-05-02 03:00:00.0
Humidity:38.1326 | time: 2020-05-02 02:00:00.0
Humidity:37.6256 | time: 2020-05-02 01:00:00.0
Humidity:39.9502 | time: 2020-05-02 00:00:00.0

 - 2020-05-01 23:00:00.0 -
Humidity:40.8409 | time: 2020-05-01 23:00:00.0
Humidity:49.0509 | time: 2020-05-01 22:00:00.0
Humidity:47.3697 | time: 2020-05-01 21:00:00.0
Humidity:47.9743 | time: 2020-05-01 20:00:00.0
Humidity:40.5424 | time: 2020-05-01 19:00:00.0
Humidity:41.0804 | time: 2020-05-01 18:00:00.0
Humidity:45.6158 | time: 2020-05-01 17:00:00.0
Humidity:45.8177 | time: 2020-05-01 16:00:00.0
Humidity:39.6069 | time: 2020-05-01 15:00:00.0
Humidity:48.8432 | time: 2020-05-01 14:00:00.0
Humidity:35.8193 | time: 2020-05-01 13:00:00.0
Humidity:44.3962 | time: 2020-05-01 12:00:00.0
Humidity:47.283 | time: 2020-05-01 11:00:00.0
Humidity:42.7528 | time: 2020-05-01 10:00:00.0
Humidity:46.2137 | time: 2020-05-01 09:00:00.0
Humidity:42.4087 | time: 2020-05-01 08:00:00.0
Humidity:49.856 | time: 2020-05-01 07:00:00.0
Humidity:45.1157 | time: 2020-05-01 06:00:00.0
Humidity:36.0941 | time: 2020-05-01 05:00:00.0
Humidity:37.5604 | time: 2020-05-01 04:00:00.0
Humidity:37.6403 | time: 2020-05-01 03:00:00.0
Humidity:42.0679 | time: 2020-05-01 02:00:00.0
Humidity:49.2761 | time: 2020-05-01 00:00:00.0

 - Average humidity across these dates: 42.482662 -
